# ----------------------------------------
# 查詢: 自然 Google 搜尋查詢
# 帳戶：NTU E3 Group
# 資源：e3center.caece.net
# ----------------------------------------
# 
# 所有使用者
# 開始日期：20260212
# 結束日期：20260512
自然 Google 搜尋查詢,自然 Google 搜尋點擊次數,自然 Google 搜尋曝光次數,自然 Google 搜尋點閱率,自然 Google 搜尋平均排序
e3 center,47,136,0.34558823529411764,2.9411764705882355
e3 group,14,62,0.22580645161290322,8.903225806451612
i-yun lisa hsieh,7,78,0.08974358974358974,5.115384615384615
e3,6,8129,0.0007380981670562184,8.669332021158814
e3 lab,6,42,0.14285714285714285,6.023809523809524
謝依芸,5,130,0.038461538461538464,8.192307692307693
lisa hsieh,4,51,0.0784313725490196,5.215686274509804
e3group,2,2,1,1.5
e3lab,2,3,0.6666666666666666,1.6666666666666665
黃榆庭,2,15,0.13333333333333333,10.066666666666666
e3 taiwan,1,9,0.1111111111111111,1.3333333333333333
%e3%,0,1,0,9
caece.net,0,5,0,2.4
e 3,0,2,0,38
e(3) group,0,1,0,1
e.3,0,3,0,10
e3 economics,0,1,0,10
e3 labs,0,3,0,31
e3 members,0,1,0,5
e3 new,0,1,0,11
e3 official website,0,2,0,9
e3 team,0,2,0,35.5
"e3""",0,1,0,12
"e3""""",0,1,0,6
e3#,0,1,0,10
e3',0,8,0,5.875
"e3,",0,1,0,12
e3-,0,1,0,15
e3.,0,5,0,9
e3.4,0,1,0,9
e3\,0,3,0,9
e3],0,1,0,10
e3ta,0,1,0,10
e^-3,0,1,0,11
exntu,0,5,0,10.2
group e3,0,1,0,67
grupo e3,0,6,0,9.166666666666666
i yun,0,53,0,3.169811320754717
national taiwan university (ntu),0,1,0,1
ntu ene,0,1,0,10
ntu m,0,1,0,25
renewable energy?,0,1,0,2
sean yun,0,1,0,29
thomas yuan,0,1,0,6
yu ting huang,0,4,0,25.5
yu-ting huang,0,1,0,77
е3,0,1,0,7
丁俊瑋,0,3,0,15
于忻,0,1,0,11
呂芷儀,0,5,0,6.8
張友睿,0,4,0,8.5
拔萃學者,0,8,0,8.875
林宏叡,0,2,0,47
謝依芸 台大,0,17,0,10.647058823529411
鍾安慶,0,4,0,10.75
陳珮慈,0,1,0,33
ｅ3,0,4,0,9
ｅ３,0,4,0,5.5
