Country,Clicks,Impressions,CTR,Position
Taiwan,196,9287,2.11%,8.27
United States,16,293,5.46%,8.57
Japan,6,54,11.11%,5.28
Germany,3,45,6.67%,5.84
India,2,74,2.7%,10.3
Indonesia,2,25,8%,5.24
United Kingdom,2,20,10%,5.1
Netherlands,2,13,15.38%,9.31
New Zealand,2,8,25%,7.25
Belgium,2,5,40%,4.4
Hong Kong,1,63,1.59%,10.59
Singapore,1,45,2.22%,7.24
Malaysia,1,28,3.57%,5.96
Brazil,1,23,4.35%,4.17
Macau,1,13,7.69%,4.77
Australia,1,12,8.33%,5.92
France,1,10,10%,3.5
Poland,1,9,11.11%,3.78
Czechia,1,7,14.29%,4.71
Vietnam,0,61,0%,6.1
Canada,0,36,0%,9.61
South Korea,0,28,0%,5.32
China,0,28,0%,6.5
Philippines,0,27,0%,5.22
Peru,0,18,0%,4.94
Thailand,0,18,0%,5.61
Italy,0,15,0%,6.27
Switzerland,0,12,0%,6.25
Turkey,0,12,0%,10.25
Pakistan,0,11,0%,2.27
Spain,0,11,0%,10.82
Ecuador,0,7,0%,5.57
Paraguay,0,6,0%,5.17
Chile,0,6,0%,6.17
Mexico,0,6,0%,7.83
Sri Lanka,0,5,0%,4.4
Austria,0,5,0%,4.8
Russia,0,5,0%,27.2
Israel,0,4,0%,3.5
Bangladesh,0,4,0%,3.75
Ethiopia,0,4,0%,4
Saudi Arabia,0,4,0%,4.5
Egypt,0,4,0%,5.25
Sweden,0,4,0%,6
Tanzania,0,4,0%,7.25
Guatemala,0,4,0%,11.25
Kuwait,0,4,0%,20.5
Somalia,0,3,0%,2.67
American Samoa,0,3,0%,5
Myanmar (Burma),0,3,0%,7
Argentina,0,3,0%,8
Denmark,0,3,0%,10
United Arab Emirates,0,3,0%,10.33
El Salvador,0,3,0%,11.33
Colombia,0,3,0%,22.33
Lithuania,0,3,0%,50
Norway,0,3,0%,58
Lebanon,0,2,0%,1.5
Hungary,0,2,0%,2
Portugal,0,2,0%,2.5
Rwanda,0,2,0%,2.5
Uzbekistan,0,2,0%,2.5
Costa Rica,0,2,0%,4.5
Iraq,0,2,0%,4.5
Nepal,0,2,0%,6
Serbia,0,2,0%,7.5
Honduras,0,2,0%,8
Finland,0,2,0%,9.5
Ghana,0,1,0%,1
Kenya,0,1,0%,1
Morocco,0,1,0%,1
South Africa,0,1,0%,2
Bulgaria,0,1,0%,3
Ukraine,0,1,0%,3
Greece,0,1,0%,4
Iran,0,1,0%,7
Cambodia,0,1,0%,7
Qatar,0,1,0%,9
Lesotho,0,1,0%,10
Romania,0,1,0%,10
Moldova,0,1,0%,11
Madagascar,0,1,0%,11
Brunei,0,1,0%,13
Croatia,0,1,0%,19
