Top queries,Clicks,Impressions,CTR,Position
e3 center,47,136,34.56%,2.94
e3 group,14,62,22.58%,8.9
i-yun lisa hsieh,7,78,8.97%,5.12
e3,6,8156,0.07%,8.67
e3 lab,6,43,13.95%,6.07
謝依芸,5,131,3.82%,8.16
lisa hsieh,4,54,7.41%,4.98
黃榆庭,2,15,13.33%,10.07
e3lab,2,3,66.67%,1.67
e3group,2,2,100%,1.5
e3 taiwan,1,9,11.11%,1.33
i yun,0,56,0%,3.14
謝依芸 台大,0,17,0%,10.65
e3',0,8,0%,5.88
拔萃學者,0,8,0%,8.88
grupo e3,0,6,0%,9.17
caece.net,0,5,0%,2.4
呂芷儀,0,5,0%,6.8
e3.,0,5,0%,9
exntu,0,5,0%,10.2
ｅ３,0,4,0%,5.5
張友睿,0,4,0%,8.5
ｅ3,0,4,0%,9
鍾安慶,0,4,0%,10.75
yu ting huang,0,4,0%,25.5
e3\,0,3,0%,9
e.3,0,3,0%,10
丁俊瑋,0,3,0%,15
e3 labs,0,3,0%,31
e3 official website,0,2,0%,9
e3 team,0,2,0%,35.5
e 3,0,2,0%,38
林宏叡,0,2,0%,47
e(3) group,0,1,0%,1
national taiwan university (ntu),0,1,0%,1
renewable energy?,0,1,0%,2
e3 members,0,1,0%,5
"e3""""",0,1,0%,6
thomas yuan,0,1,0%,6
е3,0,1,0%,7
%e3%,0,1,0%,9
e3.4,0,1,0%,9
e3 economics,0,1,0%,10
e3#,0,1,0%,10
e3],0,1,0%,10
e3ta,0,1,0%,10
ntu ene,0,1,0%,10
e3 new,0,1,0%,11
e^-3,0,1,0%,11
于忻,0,1,0%,11
"e3""",0,1,0%,12
"e3,",0,1,0%,12
e3-,0,1,0%,15
chung-yun hsieh,0,1,0%,18
ntu m,0,1,0%,25
sean yun,0,1,0%,29
陳珮慈,0,1,0%,33
group e3,0,1,0%,67
yu-ting huang,0,1,0%,77
