國家/地區,點擊,曝光,點閱率,排名
台灣,701,45581,1.54%,8.55
美國,39,1967,1.98%,12.47
日本,21,184,11.41%,5.66
新加坡,15,301,4.98%,7.21
印度,11,277,3.97%,9.24
印尼,9,112,8.04%,7.97
德國,8,119,6.72%,7.52
越南,6,256,2.34%,6.38
英國,6,100,6%,10.73
澳洲,6,54,11.11%,8.91
荷蘭,6,36,16.67%,11.64
馬來西亞,5,102,4.9%,6.77
香港,4,196,2.04%,9.34
泰國,4,65,6.15%,7.98
法國,3,43,6.98%,7.33
菲律賓,2,74,2.7%,7.62
比利時,2,27,7.41%,8.52
紐西蘭,2,17,11.76%,9.12
捷克,2,15,13.33%,6.93
南韓,1,147,0.68%,7.67
巴西,1,107,0.93%,18.98
義大利,1,57,1.75%,15.16
瑞士,1,37,2.7%,10.11
波蘭,1,24,4.17%,8.79
澳門特別行政區,1,22,4.55%,7.18
瑞典,1,16,6.25%,6.56
以色列,1,13,7.69%,5.38
哥斯大黎加,1,12,8.33%,4.25
斯里蘭卡,1,12,8.33%,4.5
奧地利,1,12,8.33%,6.33
芬蘭,1,9,11.11%,4
奈及利亞,1,9,11.11%,19.44
希臘,1,6,16.67%,6.33
蒙古,1,2,50%,1
加拿大,0,198,0%,12.66
中國,0,78,0%,7.32
秘魯,0,41,0%,9.02
西班牙,0,32,0%,13.41
巴基斯坦,0,28,0%,11.43
土耳其,0,25,0%,11.4
墨西哥,0,23,0%,7.65
沙烏地阿拉伯,0,23,0%,19.26
俄羅斯,0,20,0%,29.35
愛爾蘭,0,16,0%,5.62
伊朗,0,16,0%,5.62
智利,0,16,0%,6.12
孟加拉,0,16,0%,11.19
阿拉伯聯合大公國,0,12,0%,6.33
厄瓜多,0,12,0%,12.33
南非,0,12,0%,14.42
阿根廷,0,12,0%,18.75
埃及,0,12,0%,21.33
巴拉圭,0,9,0%,8
哥倫比亞,0,9,0%,17.44
伊拉克,0,8,0%,15.88
瓜地馬拉,0,8,0%,30.12
衣索比亞,0,7,0%,14.43
宏都拉斯,0,7,0%,18.43
摩洛哥,0,7,0%,19.29
立陶宛,0,7,0%,23.57
烏克蘭,0,7,0%,33.57
葡萄牙,0,6,0%,7.17
羅馬尼亞,0,6,0%,7.83
盧森堡,0,5,0%,2.6
緬甸,0,5,0%,7.6
尼泊爾,0,5,0%,8
委內瑞拉,0,5,0%,9.4
約旦,0,5,0%,23.2
白俄羅斯,0,5,0%,31.8
挪威,0,5,0%,37.6
坦尚尼亞,0,4,0%,7.25
柬埔寨,0,4,0%,8
薩爾瓦多共和國,0,4,0%,8.75
丹麥,0,4,0%,9.75
克羅埃西亞,0,4,0%,11.5
塞爾維亞,0,4,0%,12.25
科威特,0,4,0%,20.5
烏茲別克,0,3,0%,2
索馬利亞,0,3,0%,2.67
黎巴嫩,0,3,0%,4.33
美屬薩摩亞,0,3,0%,5
斯洛伐克,0,3,0%,5.67
保加利亞,0,3,0%,7.67
烏拉圭,0,3,0%,8.67
匈牙利,0,2,0%,2
盧安達,0,2,0%,2.5
未知區域,0,2,0%,5
卡達,0,2,0%,7
賽普勒斯,0,2,0%,9.5
阿曼,0,2,0%,11.5
玻利維亞,0,2,0%,15
多明尼加共和國,0,2,0%,20
亞賽拜然,0,2,0%,20.5
汶萊,0,2,0%,22
波士尼亞與赫塞哥維納,0,1,0%,1
阿爾及利亞,0,1,0%,1
迦納,0,1,0%,1
肯亞,0,1,0%,1
塞席爾,0,1,0%,1
馬爾地夫,0,1,0%,3
巴勒斯坦,0,1,0%,3
利比亞,0,1,0%,4
塞內加爾,0,1,0%,5
喬治亞,0,1,0%,6
敘利亞,0,1,0%,6
牙買加,0,1,0%,7
茅利塔尼亞,0,1,0%,7
剛果 - 金夏沙,0,1,0%,8
葛摩,0,1,0%,8
千里達及托巴哥,0,1,0%,8
巴貝多,0,1,0%,9
巴林,0,1,0%,10
冰島,0,1,0%,10
賴索托,0,1,0%,10
摩爾多瓦,0,1,0%,11
馬達加斯加,0,1,0%,11
哈薩克,0,1,0%,12
突尼西亞,0,1,0%,29
莫三比克,0,1,0%,35
象牙海岸,0,1,0%,40
波多黎克,0,1,0%,40
關島,0,1,0%,85
聖克里斯多福及尼維斯,0,1,0%,95
